abbor,/ɑ b ɔ ɾ/
tvetydigere,/ˈ t ʋ e ː t y ː d ɪ ɾ ə/
tvetydigst,/ˈ t ʋ e ː t y ː d ɪ k s t/
tvetydigste,/ˈ t ʋ e ː t y ː d ɪ k s t ə/
tvile,"/ˈ t ʋ iː l ə/, /ˈ t f iː l ə/"
tvilsom,/ˈ t ʋ iː l s ɔ m/
tvinge,/ˈ t ʋ ɪ ŋ ə/
tvinne,/ˈ t ʋ ɪ n ə/
tvungen,/ˈ t ʋ ʊ ŋ ə n/
tvære,/ˈ t ʋ æ ː ɾ ə/
ty,/t y ː/
tyde,/ˈ t y ː d ə/
tydelig,/ˈ t y ː d ə l ɪ/
tydelige,/ˈ t y ː d ə l ɪə/
tydeligere,/ˈ t y ː d ə l ɪ ɾ ə/
tydeligst,/ˈ t y ː d ə l ɪ k s t/
tydeligste,/ˈ t y ː d ə l ɪ k s t ə/
tygge,/ˈ t ʏ g ə/
tyggis,/ˈ t ʏ g iː s/
tykk,/t ʏ k/
tykne,/ˈ t ʏ k n ə/
tynge,/ˈ t ʏ ŋ ə/
tynn,/t ʏ n/
type,/ˈ t y ː p ə/
typisk,/ˈ t y ː p ɪ s k/
tyrannisere,/t ʏ ɾ ɑ n ɪ ˈ s e ː ɾ ə/
tyrannisk,/t ʏ ˈ ɾ ɑ n ɪ s k/
tyrkisk,/ˈ t ʏ ɾ k ɪ s k/
tysk,/t ʏ s k/
tysker,/ˈ t ʏ s k ə ɾ/
Tyskland,/ˈ t ʏ s k l ɑ n/
tyst,/t ʏ s t/
tyste,/ˈ t ʏ s t ə/
tyte,/ˈ t y ː t ə/
tyv,/t y ː ʋ/
tyve,/t y ː ʋ ə/
tyveri,/t y ː ʋ ə ˈ ɾ iː/
tære,/ˈ t æ ː ɾ ə/
tø,/t ø ː/
tøff,/t œ f/
tømme,/ˈ t œ m ə/
tømming,/t œ m ɪ ŋ/
tømre,/ˈ t œ m ɾ ə/
tørke,/ˈ t œ ɾ k ə/
tørketrommel,/t œ ɾ k ə t ɾ ʊ m ə l/
tørr,/t œ ɾ/
tørre,/ˈ t œ ɾ ə/
tørst,/t œ ʂ t/
tørt,/t œ ʈ/
tørt hår,/ˈ t œ ʈ   ˈ h o ː ɾ/
tøye,/ˈ t œ j ə/
tøyle,/ˈ t œ j l ə/
tøylesløs,/ˈ t œ j l ə s l ø ː s/
tøyse,/ˈ t œ j s ə/
tøysete,/ˈ t œ j s ə t ə/
tå,/t o ː/
tåke,/ˈ t o ː k ə/
tåkete,/ˈ t o ː k ə t ə/
tåle,/ˈ t o ː l ə/
tålmodig,/t ɔ l ˈ m uː d ɪ/
tålmodige,/t ɔ l ˈ m uː d ɪə/
tålmodigere,/t ɔ l ˈ m uː d ɪ ɾ ə/
tålmodighet,/t ɔ l ˈ m uː d ɪ h ɛ t/
tålmodigst,/t ɔ l ˈ m uː d ɪ k s t/
tålmodigste,/t ɔ l ˈ m uː d ɪ k s t ə/
tåpelig,/ˈ t o ː p ə l ɪ/
tåpelige,/ˈ t o ː p ə l ɪə/
tåpeligere,/ˈ t o ː p ə l ɪ ɾ ə/
tåpeligst,/ˈ t o ː p ə l ɪ k s t/
tåpeligste,/ˈ t o ː p ə l ɪ k s t ə/
tåre,/ˈ t o ː ɾ ə/
tårn,/t o ː ɳ/
tåte,/ˈ t o ː t ə/
tåteflaske,/t o ː t ə f l ɑ s k ə/
uakseptabel,/ˈ ʉ ɑ k s ə p t ɑː b ə l/
uaktsom,/ʉ ˈ ɑ k t s ɔ m/
ualminnelig,/ʉ ɑ l ˈ m ɪ n ə l ɪ/
ualminnelige,/ʉ ɑ l ˈ m ɪ n ə l ɪə/
ualminneligere,/ʉ ɑ l ˈ m ɪ n ə l ɪ ɾ ə/
ualminneligst,/ʉ ɑ l ˈ m ɪ n ə l ɪ k s t/
ualminneligste,/ʉ ɑ l ˈ m ɪ n ə l ɪ k s t ə/
uanfekta,/ˈ ʉ ː ɑ n f ɛ k t ə t/
uanfektet,/ˈ ʉ ː ɑ n f ɛ k t ə t/
uansett,/ˈ ʉ ː ɑ n s ɛ t/
uanstendig,/ˈ ʉ ː ɑ n s t ɛ n ɪ/
uanstendige,/ˈ ʉ ː ɑ n s t ɛ n ɪə/
uanstendigere,/ˈ ʉ ː ɑ n s t ɛ n ɪ ɾ ə/
uanstendigst,/ˈ ʉ ː ɑ n s t ɛ n ɪ k s t/
uanstendigste,/ˈ ʉ ː ɑ n s t ɛ n ɪ k s t ə/
uansvarlig,/ˈ ʉ ː ɑ n s ʋ ɑː ɭ ɪ/
uansvarlige,/ˈ ʉ ː ɑ n s ʋ ɑː ɭ ɪə/
uansvarligere,/ˈ ʉ ː ɑ n s ʋ ɑː ɭ ɪ ɾ ə/
uansvarligst,/ˈ ʉ ː ɑ n s ʋ ɑː ɭ ɪ k s t/
uansvarligste,/ˈ ʉ ː ɑ n s ʋ ɑː ɭ ɪ k s t ə/
uatskillelig,/ʉ ɑ t ˈ ʂ ɪ l ə l ɪ/
uatskillelige,/ʉ ɑ t ˈ ʂ ɪ l ə l ɪə/
uatskilleligere,/ʉ ɑ t ˈ ʂ ɪ l ə l ɪ ɾ ə/
uatskilleligst,/ʉ ɑ t ˈ ʂ ɪ l ə l ɪ k s t/
uatskilleligste,/ʉ ɑ t ˈ ʂ ɪ l ə l ɪ k s t ə/
uavbrutt,/ˈ ʉ ː ɑː ʋ b ɾ ʉ t/
uavgjort,/ˈ ʉ ː ɑː ʋ j ʊ ʈ/
uavhengig,/ˈ ʉ ː ɑː ʋ h ɛ ŋ ɪ/
uavhengige,/ˈ ʉ ː ɑː ʋ h ɛ ŋ ɪə/
uavhengigere,/ˈ ʉ ː ɑː ʋ h ɛ ŋ ɪ ɾ ə/
uavhengigst,/ˈ ʉ ː ɑː ʋ h ɛ ŋ ɪ k s t/
uavhengigste,/ˈ ʉ ː ɑː ʋ h ɛ ŋ ɪ k s t ə/
uavlatelig,/ʉ ː ɑː ʋ ˈ l ɑː t ə l ɪ/
uavlatelige,/ʉ ː ɑː ʋ ˈ l ɑː t ə l ɪə/
uavlateligere,/ʉ ː ɑː ʋ ˈ l ɑː t ə l ɪ ɾ ə/
uavlateligst,/ʉ ː ɑː ʋ ˈ l ɑː t ə l ɪ k s t/
uavlateligste,/ʉ ː ɑː ʋ ˈ l ɑː t ə l ɪ k s t ə/
uavsluttet,/ˈ ʉ ː ɑː ʋ ʂ ɭ ʉ t ə t/
ubalansert,/ˈ ʉ ː b ɑ l ɑ ŋ s e ː ʈ/
ubarmhjertig,/ˈ ʉ ː b ɑ ɾ m j æ ʈ ɪ/
ubarmhjertige,/ˈ ʉ ː b ɑ ɾ m j æ ʈ ɪə/
ubarmhjertigere,/ˈ ʉ ː b ɑ ɾ m j æ ʈ ɪ ɾ ə/
ubarmhjertigst,/ˈ ʉ ː b ɑ ɾ m j æ ʈ ɪ k s t/
ubarmhjertigste,/ˈ ʉ ː b ɑ ɾ m j æ ʈ ɪ k s t ə/
ubebodd,/ˈ ʉ ː b ə b ʊ d/
ubegava,/ˈ ʉ ː b ə g ɑː ʋ ə t/
ubegavet,/ˈ ʉ ː b ə g ɑː ʋ ə t/
ubegrensa,/ˈ ʉ ː b ə g ɾ ɛ n s ə t/
ubegrenset,/ˈ ʉ ː b ə g ɾ ɛ n s ə t/
ubegripelig,/ʉ ː b ə ˈ g ɾ iː p ə l ɪ/
ubegripelige,/ʉ ː b ə ˈ g ɾ iː p ə l ɪə/
ubegripeligere,/ʉ ː b ə ˈ g ɾ iː p ə l ɪ ɾ ə/
ubegripeligst,/ʉ ː b ə ˈ g ɾ iː p ə l ɪ k s t/
ubegripeligste,/ʉ ː b ə ˈ g ɾ iː p ə l ɪ k s t ə/
ubehagelig,/ʉ ː b ə ˈ h ɑː g ə l ɪ/
ubehagelige,/ʉ ː b ə ˈ h ɑː g ə l ɪə/
ubehageligere,/ʉ ː b ə ˈ h ɑː g ə l ɪ ɾ ə/
ubehageligst,/ʉ ː b ə ˈ h ɑː g ə l ɪ k s t/
ubehageligste,/ʉ ː b ə ˈ h ɑː g ə l ɪ k s t ə/
ubekvem,/ˈ ʉ ː b ə k ʋ ɛ m/
ubeleilig,/ˈ ʉ ː b ə l æɪ l ɪ/
ubeleilige,/ˈ ʉ ː b ə l æɪ l ɪə/
ubeleiligere,/ˈ ʉ ː b ə l æɪ l ɪ ɾ ə/
ubeleiligst,/ˈ ʉ ː b ə l æɪ l ɪ k s t/
ubeleiligste,/ˈ ʉ ː b ə l æɪ l ɪ k s t ə/
uberørt,/ˈ ʉ ː b ə ɾ ø ː ʈ/
ubestemt,/ˈ ʉ ː b ə s t ɛ m t/
ubetenksom,/ˈ ʉ ː b ə t ɛ ŋ k s ɔ m/
ubetinget,/ʉ ː b ɛ t ɪ ŋ ə t/
ubetydelig,/ʉ ː b e ː ˈ t y ː d ə l ɪ/
ubetydelige,/ʉ ː b e ː ˈ t y ː d ə l ɪə/
ubetydeligere,/ʉ ː b e ː ˈ t y ː d ə l ɪ ɾ ə/
ubetydeligst,/ʉ ː b e ː ˈ t y ː d ə l ɪ k s t/
ubetydeligste,/ʉ ː b e ː ˈ t y ː d ə l ɪ k s t ə/
ubevegelig,/ʉ ː b ə ˈ ʋ e ː g ə l ɪ/
ubevegelige,/ʉ ː b ə ˈ ʋ e ː g ə l ɪə/
ubevegeligere,/ʉ ː b ə ˈ ʋ e ː g ə l ɪ ɾ ə/
ubevegeligst,/ʉ ː b ə ˈ ʋ e ː g ə l ɪ k s t/
ubevegeligste,/ʉ ː b ə ˈ ʋ e ː g ə l ɪ k s t ə/
ubevisst,/ˈ ʉ ː b ə ʋ ɪ s t/
ublu,/ˈ ʉ ː b l ʉ ː/
ubotelig,/ʉ ˈ b uː t ə l ɪ/
ubotelige,/ʉ ˈ b uː t ə l ɪə/
uboteligere,/ʉ ˈ b uː t ə l ɪ ɾ ə/
uboteligst,/ʉ ˈ b uː t ə l ɪ k s t/
uboteligste,/ʉ ˈ b uː t ə l ɪ k s t ə/
ubrukbar,/ʉ ˈ b ɾ ʉ ː k b ɑː ɾ/
ubrukelig,/ʉ ˈ b ɾ ʉ ː k ə l ɪ/
ubrukelige,/ʉ ˈ b ɾ ʉ ː k ə l ɪə/
ubrukeligere,/ʉ ˈ b ɾ ʉ ː k ə l ɪ ɾ ə/
ubrukeligst,/ʉ ˈ b ɾ ʉ ː k ə l ɪ k s t/
ubrukeligste,/ʉ ˈ b ɾ ʉ ː k ə l ɪ k s t ə/
ubøyelig,/ʉ ˈ b œ j ə l ɪ/
ubøyelige,/ʉ ˈ b œ j ə l ɪə/
ubøyeligere,/ʉ ˈ b œ j ə l ɪ ɾ ə/
ubøyeligst,/ʉ ˈ b œ j ə l ɪ k s t/
ubøyeligste,/ʉ ˈ b œ j ə l ɪ k s t ə/
udanna,/ˈ ʉ ː d ɑ n ə t/
udannet,/ˈ ʉ ː d ɑ n ə t/
udelt,/ˈ ʉ ː d e ː l t/
udugelig,/ʉ ː ˈ d ʉ ː g ə l ɪ/
udugelige,/ʉ ː ˈ d ʉ ː g ə l ɪə/
udugeligere,/ʉ ː ˈ d ʉ ː g ə l ɪ ɾ ə/
udugeligst,/ʉ ː ˈ d ʉ ː g ə l ɪ k s t/
udugeligste,/ʉ ː ˈ d ʉ ː g ə l ɪ k s t ə/
udødelig,/ʉ ˈ d ø ː d ə l ɪ/
udødelige,/ʉ ˈ d ø ː d ə l ɪə/
udødeligere,/ʉ ˈ d ø ː d ə l ɪ ɾ ə/
udødeligst,/ʉ ˈ d ø ː d ə l ɪ k s t/
udødeligste,/ʉ ˈ d ø ː d ə l ɪ k s t ə/
uegennyttig,/ˈ ʉ ː e ː g ə n ʏ t ɪ/
uegennyttige,/ˈ ʉ ː e ː g ə n ʏ t ɪə/
uegennyttigere,/ˈ ʉ ː e ː g ə n ʏ t ɪ ɾ ə/
uegennyttigst,/ˈ ʉ ː e ː g ə n ʏ t ɪ k s t/
uegennyttigste,/ˈ ʉ ː e ː g ə n ʏ t ɪ k s t ə/
uegnet,/ˈ ʉ ː æɪ n ə t/
uekte,/ˈ ʉ ː ɛ k t ə/
uendelig,/ʉ ˈ ɛ n ə l ɪ/
uendelige,/ʉ ˈ ɛ n ə l ɪə/
uendeligere,/ʉ ˈ ɛ n ə l ɪ ɾ ə/
uendeligst,/ʉ ˈ ɛ n ə l ɪ k s t/
uendeligste,/ʉ ˈ ɛ n ə l ɪ k s t ə/
uenig,/ʉ ˈ e ː n ɪ/
uenige,/ʉ ˈ e ː n ɪə/
uenigere,/ʉ ˈ e ː n ɪ ɾ ə/
uenigst,/ʉ ˈ e ː n ɪ k s t/
uenigste,/ʉ ˈ e ː n ɪ k s t ə/
uerstattelig,/ʉ æ ˈ ʂ t ɑ t ə l ɪ/
uerstattelige,/ʉ æ ˈ ʂ t ɑ t ə l ɪə/
uerstatteligere,/ʉ æ ˈ ʂ t ɑ t ə l ɪ ɾ ə/
uerstatteligst,/ʉ æ ˈ ʂ t ɑ t ə l ɪ k s t/
uerstatteligste,/ʉ æ ˈ ʂ t ɑ t ə l ɪ k s t ə/
ufarlig,/ʉ ˈ f ɑː ɭ ɪ/
ufarlige,/ʉ ˈ f ɑː ɭ ɪə/
ufarligere,/ʉ ˈ f ɑː ɭ ɪ ɾ ə/
ufarligst,/ʉ ˈ f ɑː ɭ ɪ k s t/
ufarligste,/ʉ ˈ f ɑː ɭ ɪ k s t ə/
ufattelig,/ʉ ˈ f ɑ t ə l ɪ/
ufattelige,/ʉ ˈ f ɑ t ə l ɪə/
ufatteligere,/ʉ ˈ f ɑ t ə l ɪ ɾ ə/
ufatteligst,/ʉ ˈ f ɑ t ə l ɪ k s t/
ufatteligste,/ʉ ˈ f ɑ t ə l ɪ k s t ə/
ufin,/ˈ ʉ ː f iː n/
uflidd,/ˈ ʉ ː f l ɪ d/
uforanderlig,/ʉ ː f ɔ ˈ ɾ ɑ n ə l ɪ/
uforanderlige,/ʉ ː f ɔ ˈ ɾ ɑ n ə l ɪə/
uforanderligere,/ʉ ː f ɔ ˈ ɾ ɑ n ə l ɪ ɾ ə/
uforanderligst,/ʉ ː f ɔ ˈ ɾ ɑ n ə l ɪ k s t/
uforanderligste,/ʉ ː f ɔ ˈ ɾ ɑ n ə l ɪ k s t ə/
uforbederlig,/ʉ ː f ɔ ɾ ˈ b e ː d ə ɭ ɪ/
uforbederlige,/ʉ ː f ɔ ɾ ˈ b e ː d ə ɭ ɪə/
uforbederligere,/ʉ ː f ɔ ɾ ˈ b e ː d ə ɭ ɪ ɾ ə/
uforbederligst,/ʉ ː f ɔ ɾ ˈ b e ː d ə ɭ ɪ k s t/
uforbederligste,/ʉ ː f ɔ ɾ ˈ b e ː d ə ɭ ɪ k s t ə/
uforbeholden,/ˈ ʉ ː f ɔ ɾ b ə h ɔ l ə n/
uforberedt,/ˈ ʉ ː f ɔ ɾ b ə ɾ ə t/
ufordragelig,/ʉ f ɔ ˈ ɖ ɾ ɑː g ə l ɪ/
ufordragelige,/ʉ f ɔ ˈ ɖ ɾ ɑː g ə l ɪə/
ufordrageligere,/ʉ f ɔ ˈ ɖ ɾ ɑː g ə l ɪ ɾ ə/
ufordrageligst,/ʉ f ɔ ˈ ɖ ɾ ɑː g ə l ɪ k s t/
ufordrageligste,/ʉ f ɔ ˈ ɖ ɾ ɑː g ə l ɪ k s t ə/
uforfalska,/ˈ ʉ ː f ɔ ɾ f ɑ l s k ɑ/
uforfalsket,/ˈ ʉ ː f ɔ ɾ f ɑ l s k ə t/
uforglemmelig,/ʉ f ɔ ɾ ˈ g l ɛ m ə l ɪ/
uforglemmelige,/ʉ f ɔ ɾ ˈ g l ɛ m ə l ɪə/
uforglemmeligere,/ʉ f ɔ ɾ ˈ g l ɛ m ə l ɪ ɾ ə/
uforglemmeligst,/ʉ f ɔ ɾ ˈ g l ɛ m ə l ɪ k s t/
uforglemmeligste,/ʉ f ɔ ɾ ˈ g l ɛ m ə l ɪ k s t ə/
uforklarlig,/ʉ ː f ɔ ɾ ˈ k l ɑː ɭ ɪ/
uforklarlige,/ʉ ː f ɔ ɾ ˈ k l ɑː ɭ ɪə/
uforklarligere,/ʉ ː f ɔ ɾ ˈ k l ɑː ɭ ɪ ɾ ə/
uforklarligst,/ʉ ː f ɔ ɾ ˈ k l ɑː ɭ ɪ k s t/
uforklarligste,/ʉ ː f ɔ ɾ ˈ k l ɑː ɭ ɪ k s t ə/
uformelig,/ʉ ˈ f ɔ ɾ m ə l ɪ/
uformelige,/ʉ ˈ f ɔ ɾ m ə l ɪə/
uformeligere,/ʉ ˈ f ɔ ɾ m ə l ɪ ɾ ə/
uformeligst,/ʉ ˈ f ɔ ɾ m ə l ɪ k s t/
uformeligste,/ʉ ˈ f ɔ ɾ m ə l ɪ k s t ə/
uformell,/ˈ ʉ ː f ɔ ɾ m ɛ l/
uforpliktende,/ʉ f ɔ ɾ p l ɪ k t ə n ə/
uforsiktig,/ˈ ʉ ː f ɔ ʂ ɪ k t ɪ/
uforsiktige,/ˈ ʉ ː f ɔ ʂ ɪ k t ɪə/
uforsiktigere,/ˈ ʉ ː f ɔ ʂ ɪ k t ɪ ɾ ə/
uforsiktigst,/ˈ ʉ ː f ɔ ʂ ɪ k t ɪ k s t/
uforsiktigste,/ˈ ʉ ː f ɔ ʂ ɪ k t ɪ k s t ə/
uforskamma,/ˈ ʉ ː f ɔ ʂ k ɑ m ə t/
uforskammet,/ˈ ʉ ː f ɔ ʂ k ɑ m ə t/
uforskyldt,/ˈ ʉ ː f ɔ ʂ ʏ l t/
uforstandig,/ˈ ʉ ː f ɔ ʂ t ɑ n ɪ/
uforstandige,/ˈ ʉ ː f ɔ ʂ t ɑ n ɪə/
uforstandigere,/ˈ ʉ ː f ɔ ʂ t ɑ n ɪ ɾ ə/
uforstandigst,/ˈ ʉ ː f ɔ ʂ t ɑ n ɪ k s t/
uforstandigste,/ˈ ʉ ː f ɔ ʂ t ɑ n ɪ k s t ə/
uforståelig,/ʉ ː f ɔ ˈ ʂ t o ː ə l ɪ/
uforståelige,/ʉ ː f ɔ ˈ ʂ t o ː ə l ɪə/
uforståeligere,/ʉ ː f ɔ ˈ ʂ t o ː ə l ɪ ɾ ə/
uforståeligst,/ʉ ː f ɔ ˈ ʂ t o ː ə l ɪ k s t/
uforståeligste,/ʉ ː f ɔ ˈ ʂ t o ː ə l ɪ k s t ə/
uforstående,/ˈ ʉ ː f ɔ ʂ t o ː ə n ə/
uforsvarlig,/ˈ ʉ ː f ɔ ʂ ʋ ɑː ɭ ɪ/
uforsvarlige,/ˈ ʉ ː f ɔ ʂ ʋ ɑː ɭ ɪə/
uforsvarligere,/ˈ ʉ ː f ɔ ʂ ʋ ɑː ɭ ɪ ɾ ə/
uforsvarligst,/ˈ ʉ ː f ɔ ʂ ʋ ɑː ɭ ɪ k s t/
uforsvarligste,/ˈ ʉ ː f ɔ ʂ ʋ ɑː ɭ ɪ k s t ə/
ufortrøden,/ˈ ʉ ː f ɔ ʈ ɾ ø ː d ə n/
uforvarende,/ˈ ʉ ː f ɔ ɾ ʋ ɑː ɾ ə n ə/
ufravikelig,/ʉ ː f ɾ ɑ ˈ ʋ iː k ə l ɪ/
ufravikelige,/ʉ ː f ɾ ɑ ˈ ʋ iː k ə l ɪə/
ufravikeligere,/ʉ ː f ɾ ɑ ˈ ʋ iː k ə l ɪ ɾ ə/
ufravikeligst,/ʉ ː f ɾ ɑ ˈ ʋ iː k ə l ɪ k s t/
ufravikeligste,/ʉ ː f ɾ ɑ ˈ ʋ iː k ə l ɪ k s t ə/
ufri,/ˈ ʉ ː f ɾ iː/
ufullendt,/ˈ ʉ ː f ʉ l ɛ n t/
ufullkommen,/ˈ ʉ ː f ʉ l k ɔ m ə n/
ufullstendig,/ˈ ʉ ː f ʉ l s t ə n ɪ/
ufullstendige,/ˈ ʉ ː f ʉ l s t ə n ɪə/
ufullstendigere,/ˈ ʉ ː f ʉ l s t ə n ɪ ɾ ə/
ufullstendigst,/ˈ ʉ ː f ʉ l s t ə n ɪ k s t/
ufullstendigste,/ˈ ʉ ː f ʉ l s t ə n ɪ k s t ə/
ufyselig,/ʉ ˈ f y ː s ə l ɪ/
ufyselige,/ʉ ˈ f y ː s ə l ɪə/
ufyseligere,/ʉ ˈ f y ː s ə l ɪ ɾ ə/
ufyseligst,/ʉ ˈ f y ː s ə l ɪ k s t/
ufyseligste,/ʉ ˈ f y ː s ə l ɪ k s t ə/
ufølsom,/ʉ ˈ f ø ː l s ɔ m/
ufør,/ˈ ʉ ː f ø ː ɾ/
ugift,/ˈ ʉ ː j ɪ f t/
ugjenkallelig,/ʉ ː j ə n ˈ k ɑ l ə l ɪ/
ugjenkallelige,/ʉ ː j ə n ˈ k ɑ l ə l ɪə/
ugjenkalleligere,/ʉ ː j ə n ˈ k ɑ l ə l ɪ ɾ ə/
ugjenkalleligst,/ʉ ː j ə n ˈ k ɑ l ə l ɪ k s t/
ugjenkalleligste,/ʉ ː j ə n ˈ k ɑ l ə l ɪ k s t ə/
ugjennomtrengelig,/ʉ ː j ə n ɔ m ˈ t ɾ ɛ ŋ ə l ɪ/
ugjennomtrengelige,/ʉ ː j ə n ɔ m ˈ t ɾ ɛ ŋ ə l ɪə/
ugjennomtrengeligere,/ʉ ː j ə n ɔ m ˈ t ɾ ɛ ŋ ə l ɪ ɾ ə/
ugjennomtrengeligst,/ʉ ː j ə n ɔ m ˈ t ɾ ɛ ŋ ə l ɪ k s t/
ugjennomtrengeligste,/ʉ ː j ə n ɔ m ˈ t ɾ ɛ ŋ ə l ɪ k s t ə/
ugle,/ˈ ʉ g l ə/
ugyldig,/ʉ ˈ j ʏ l d ɪ/
ugyldige,/ʉ ˈ j ʏ l d ɪə/
ugyldigere,/ʉ ˈ j ʏ l d ɪ ɾ ə/
ugyldigst,/ʉ ˈ j ʏ l d ɪ k s t/
ugyldigste,/ʉ ˈ j ʏ l d ɪ k s t ə/
uhandterlig,/ˈ ʉ ː h ɔ n t e ː ɭ ɪ/
uhandterlige,/ˈ ʉ ː h ɔ n t e ː ɭ ɪə/
uhandterligere,/ˈ ʉ ː h ɔ n t e ː ɭ ɪ ɾ ə/
uhandterligst,/ˈ ʉ ː h ɔ n t e ː ɭ ɪ k s t/
uhandterligste,/ˈ ʉ ː h ɔ n t e ː ɭ ɪ k s t ə/
uhelbredelig,/ʉ ː h ə l ˈ b ɾ e ː d ə l ɪ/
uhelbredelige,/ʉ ː h ə l ˈ b ɾ e ː d ə l ɪə/
uhelbredeligere,/ʉ ː h ə l ˈ b ɾ e ː d ə l ɪ ɾ ə/
uhelbredeligst,/ʉ ː h ə l ˈ b ɾ e ː d ə l ɪ k s t/
uhelbredeligste,/ʉ ː h ə l ˈ b ɾ e ː d ə l ɪ k s t ə/
uheldig,/ʉ ˈ h ɛ l d ɪ/
uheldige,/ʉ ˈ h ɛ l d ɪə/
uheldigere,/ʉ ˈ h ɛ l d ɪ ɾ ə/
uheldigst,/ʉ ˈ h ɛ l d ɪ k s t/
uheldigste,/ʉ ˈ h ɛ l d ɪ k s t ə/
uhell,/ʉ ː h ɛ l/
uholdbar,/ˈ ʉ ː h ɔ l b ɑː ɾ/
uhorvelig,/ʉ ˈ h ɔ ɾ ʋ ə l iː/
uhorvelige,/ʉ ˈ h ɔ ɾ ʋ ə l iː ɪə/
uhorveligere,/ʉ ˈ h ɔ ɾ ʋ ə l iː ɪ ɾ ə/
uhorveligst,/ʉ ˈ h ɔ ɾ ʋ ə l iː ɪ k s t/
uhorveligste,/ʉ ˈ h ɔ ɾ ʋ ə l iː ɪ k s t ə/
uhumsk,/ˈ ʉ ː h ʉ m s k/
uhyggelig,/ʉ ˈ h ʏ g ə l ɪ/
uhyggelige,/ʉ ˈ h ʏ g ə l ɪə/
uhyggeligere,/ʉ ˈ h ʏ g ə l ɪ ɾ ə/
uhyggeligst,/ʉ ˈ h ʏ g ə l ɪ k s t/
uhyggeligste,/ʉ ˈ h ʏ g ə l ɪ k s t ə/
uhyre,/ˈ ʉ ː h y ː ɾ ə/
uhøflig,/ʉ ˈ h œ f l ɪ/
uhøflige,/ʉ ˈ h œ f l ɪə/
uhøfligere,/ʉ ˈ h œ f l ɪ ɾ ə/
uhøfligst,/ʉ ˈ h œ f l ɪ k s t/
uhøfligste,/ʉ ˈ h œ f l ɪ k s t ə/
uhørt,/ˈ ʉ ː h ø ː ʈ/
uhåndterlig,/ˈ ʉ ː h ɔ n t e ː ɭ ɪ/
uhåndterlige,/ˈ ʉ ː h ɔ n t e ː ɭ ɪə/
uhåndterligere,/ˈ ʉ ː h ɔ n t e ː ɭ ɪ ɾ ə/
uhåndterligst,/ˈ ʉ ː h ɔ n t e ː ɭ ɪ k s t/
uhåndterligste,/ˈ ʉ ː h ɔ n t e ː ɭ ɪ k s t ə/
uidentifisert,/ˈ ʉ ː ɪ d ə n t ɪ f ɪ s e ː ʈ/
uimotståelig,/ʉ ɪ m uː t ˈ s t o ː ə l ɪ/
uimotståelige,/ʉ ɪ m uː t ˈ s t o ː ə l ɪə/
uimotståeligere,/ʉ ɪ m uː t ˈ s t o ː ə l ɪ ɾ ə/
uimotståeligst,/ʉ ɪ m uː t ˈ s t o ː ə l ɪ k s t/
uimotståeligste,/ʉ ɪ m uː t ˈ s t o ː ə l ɪ k s t ə/
uimottakelig,/ʉ ɪ m ʊ ˈ t ɑː k ə l ɪ/
uimottakelige,/ʉ ɪ m ʊ ˈ t ɑː k ə l ɪə/
uimottakeligere,/ʉ ɪ m ʊ ˈ t ɑː k ə l ɪ ɾ ə/
uimottakeligst,/ʉ ɪ m ʊ ˈ t ɑː k ə l ɪ k s t/
uimottakeligste,/ʉ ɪ m ʊ ˈ t ɑː k ə l ɪ k s t ə/
uinteressert,/ˈ ʉ ː ɪ n t ə ɾ ə s e ː ʈ/
ujevn,/ˈ ʉ ː j ɛ ʋ n̩/
uke,/ʉ ː k ə/
ukekort,/ʉ ː k ə k ɔ ʈ/
ukentlig,/ˈ ʉ ː k ə n t l ɪ/
ukentlige,/ˈ ʉ ː k ə n t l ɪə/
ukentligere,/ˈ ʉ ː k ə n t l ɪ ɾ ə/
ukentligst,/ˈ ʉ ː k ə n t l ɪ k s t/
ukentligste,/ˈ ʉ ː k ə n t l ɪ k s t ə/
ukjent,/ˈ ʉ ː ç ɛ n t/
uklanderlig,/ʉ ˈ k l ɑ n ə ɭ ɪ/
uklanderlige,/ʉ ˈ k l ɑ n ə ɭ ɪə/
uklanderligere,/ʉ ˈ k l ɑ n ə ɭ ɪ ɾ ə/
uklanderligst,/ʉ ˈ k l ɑ n ə ɭ ɪ k s t/
uklanderligste,/ʉ ˈ k l ɑ n ə ɭ ɪ k s t ə/
uklar,/ˈ ʉ ː k l ɑː ɾ/
ukrenkelig,/ʉ ˈ k ɾ ɛ ŋ k ə l ɪ/
ukrenkelige,/ʉ ˈ k ɾ ɛ ŋ k ə l ɪə/
ukrenkeligere,/ʉ ˈ k ɾ ɛ ŋ k ə l ɪ ɾ ə/
ukrenkeligst,/ʉ ˈ k ɾ ɛ ŋ k ə l ɪ k s t/
ukrenkeligste,/ʉ ˈ k ɾ ɛ ŋ k ə l ɪ k s t ə/
ukritisk,/ˈ ʉ ː k ɾ iː t ɪ s k/
ukuelig,/ʉ ː ˈ k ʉ ː ə l ɪ/
ukuelige,/ʉ ː ˈ k ʉ ː ə l ɪə/
ukueligere,/ʉ ː ˈ k ʉ ː ə l ɪ ɾ ə/
ukueligst,/ʉ ː ˈ k ʉ ː ə l ɪ k s t/
ukueligste,/ʉ ː ˈ k ʉ ː ə l ɪ k s t ə/
ulastelig,/ʉ ˈ l ɑ s t ə l ɪ/
